store_name,product_name,analysis_month,monthly_inventory,monthly_sales,inventory_sales_diff,inventory_status
"Central Square","EcoWare Books Item 68",24-01,-4,1,-5,"within demand"
"Central Square","Acme Books Item 69",24-01,0,3,-3,"within demand"
"Central Square","Zenon Sports Item 70",24-01,-3,0,-3,"within demand"
"Central Square","Acme Grocery Item 71",24-01,16,2,14,"inventory issue"
"Central Square","Acme Electronics Item 72",24-01,22,3,19,"inventory issue"
"Central Square","Crafto Sports Item 73",24-01,51,0,51,"inventory issue"
"Central Square","Acme Home Item 74",24-01,49,0,49,"inventory issue"
"Central Square","UrbanX Sports Item 75",24-01,0,1,-1,"within demand"
"Central Square","Nova Books Item 76",24-01,68,0,68,"inventory issue"
"Central Square","Pulse Home Item 77",24-01,23,0,23,"inventory issue"
"Central Square","PlayOn Fashion Item 78",24-01,-1,0,-1,"within demand"
"Central Square","Freshly Grocery Item 79",24-01,33,0,33,"inventory issue"
"Central Square","Acme Electronics Item 80",24-01,48,0,48,"inventory issue"
"Central Square","Acme Electronics Item 81",24-01,-2,0,-2,"within demand"
"Central Square","Nova Electronics Item 82",24-01,1,6,-5,"within demand"
"Central Square","Pulse Electronics Item 83",24-01,-3,0,-3,"within demand"
"Central Square","Pulse Fashion Item 84",24-01,0,2,-2,"within demand"
"Central Square","Pulse Grocery Item 85",24-01,0,4,-4,"within demand"
"Central Square","Nova Electronics Item 87",24-01,19,0,19,"inventory issue"
"Central Square","UrbanX Fashion Item 88",24-01,22,2,20,"inventory issue"
"Central Square","Freshly Fashion Item 89",24-01,-5,0,-5,"within demand"
"Central Square","Acme Home Item 91",24-01,0,1,-1,"within demand"
"Central Square","Acme Beauty Item 92",24-01,0,2,-2,"within demand"
"Central Square","PlayOn Beauty Item 93",24-01,3,5,-2,"within demand"
"Central Square","Nova Home Item 94",24-01,15,1,14,"inventory issue"
"Central Square","Crafto Electronics Item 95",24-01,3,0,3,"within demand"
"Central Square","Luxe Toys Item 96",24-01,0,3,-3,"within demand"
"Central Square","Luxe Toys Item 97",24-01,0,5,-5,"within demand"
"Central Square","UrbanX Sports Item 99",24-01,15,0,15,"inventory issue"
"Central Square","EcoWare Fashion Item 100",24-01,50,0,50,"inventory issue"
"Central Square","Nova Toys Item 102",24-01,29,5,24,"inventory issue"
"Central Square","Zenon Electronics Item 103",24-01,41,0,41,"inventory issue"
"Central Square","Nova Fashion Item 104",24-01,0,5,-5,"within demand"
"Central Square","Acme Toys Item 105",24-01,0,3,-3,"within demand"
"Central Square","Freshly Home Item 107",24-01,-2,5,-7,"inventory issue"
"Central Square","Zenon Toys Item 108",24-01,2,3,-1,"within demand"
"Central Square","Acme Electronics Item 109",24-01,50,4,46,"inventory issue"
"Central Square","PlayOn Toys Item 110",24-01,-2,2,-4,"within demand"
"Central Square","PlayOn Home Item 111",24-01,0,3,-3,"within demand"
"Central Square","Zenon Toys Item 112",24-01,-2,0,-2,"within demand"
"Central Square","Acme Books Item 113",24-01,0,1,-1,"within demand"
"Central Square","Zenon Toys Item 114",24-01,0,5,-5,"within demand"
"Central Square","PlayOn Books Item 115",24-01,-2,0,-2,"within demand"
"Central Square","Zenon Fashion Item 116",24-01,26,7,19,"inventory issue"
"Central Square","Acme Fashion Item 120",24-01,-4,4,-8,"inventory issue"
"Central Square","Zenon Grocery Item 122",24-01,0,4,-4,"within demand"
"Central Square","Acme Sports Item 123",24-01,0,5,-5,"within demand"
"Central Square","Luxe Beauty Item 124",24-01,31,0,31,"inventory issue"
"Central Square","Acme Electronics Item 125",24-01,38,0,38,"inventory issue"
"Central Square","EcoWare Toys Item 126",24-01,46,0,46,"inventory issue"
"Central Square","Zenon Sports Item 127",24-01,0,0,0,"within demand"
"Central Square","UrbanX Home Item 128",24-01,-3,0,-3,"within demand"
"Central Square","EcoWare Home Item 129",24-01,36,0,36,"inventory issue"
"Central Square","Freshly Fashion Item 130",24-01,0,2,-2,"within demand"
"Central Square","Crafto Electronics Item 131",24-01,12,0,12,"inventory issue"
"Central Square","Nova Books Item 132",24-01,48,0,48,"inventory issue"
"Central Square","Pulse Home Item 133",24-01,0,3,-3,"within demand"
"Central Square","Luxe Electronics Item 134",24-01,0,3,-3,"within demand"
"Central Square","Pulse Beauty Item 136",24-01,0,3,-3,"within demand"
"Central Square","Luxe Beauty Item 137",24-01,2,0,2,"within demand"
"Central Square","Crafto Books Item 138",24-01,0,2,-2,"within demand"
"Central Square","Crafto Sports Item 139",24-01,0,7,-7,"inventory issue"
"Central Square","Luxe Beauty Item 140",24-01,0,5,-5,"within demand"
"Central Square","Nova Home Item 142",24-01,3,0,3,"within demand"
"Central Square","Zenon Beauty Item 143",24-01,33,8,25,"inventory issue"
"Central Square","Crafto Grocery Item 144",24-01,0,4,-4,"within demand"
"Central Square","PlayOn Electronics Item 145",24-01,22,0,22,"inventory issue"
"Central Square","Freshly Home Item 146",24-01,90,0,90,"inventory issue"
"Central Square","Nova Books Item 147",24-01,-1,0,-1,"within demand"
"Central Square","Pulse Sports Item 148",24-01,-12,2,-14,"inventory issue"
"Central Square","EcoWare Books Item 149",24-01,-3,12,-15,"inventory issue"
"Central Square","Luxe Electronics Item 150",24-01,0,1,-1,"within demand"
"Central Square","PlayOn Grocery Item 152",24-01,46,1,45,"inventory issue"
"Central Square","Luxe Books Item 153",24-01,61,0,61,"inventory issue"
"Central Square","EcoWare Books Item 154",24-01,33,0,33,"inventory issue"
"Central Square","Freshly Grocery Item 156",24-01,0,2,-2,"within demand"
"Central Square","Nova Beauty Item 157",24-01,14,2,12,"inventory issue"
"Central Square","Luxe Fashion Item 158",24-01,-1,0,-1,"within demand"
"Central Square","Freshly Electronics Item 159",24-01,-1,0,-1,"within demand"
"Central Square","PlayOn Books Item 160",24-01,-4,0,-4,"within demand"
"Central Square","Luxe Fashion Item 161",24-01,-4,0,-4,"within demand"
"Central Square","EcoWare Books Item 162",24-01,0,6,-6,"inventory issue"
"Central Square","Crafto Toys Item 163",24-01,69,0,69,"inventory issue"
"Central Square","UrbanX Fashion Item 166",24-01,-3,0,-3,"within demand"
"Central Square","Pulse Books Item 167",24-01,-3,0,-3,"within demand"
"Central Square","EcoWare Sports Item 168",24-01,36,11,25,"inventory issue"
"Central Square","Acme Electronics Item 169",24-01,-3,0,-3,"within demand"
"Central Square","Nova Toys Item 171",24-01,31,0,31,"inventory issue"
"Central Square","UrbanX Fashion Item 173",24-01,0,5,-5,"within demand"
"Central Square","EcoWare Books Item 174",24-01,-3,5,-8,"inventory issue"
"Central Square","Acme Fashion Item 175",24-01,0,8,-8,"inventory issue"
"Central Square","Pulse Fashion Item 176",24-01,-5,5,-10,"inventory issue"
"Central Square","UrbanX Beauty Item 177",24-01,-4,9,-13,"inventory issue"
"Central Square","Nova Electronics Item 178",24-01,-1,3,-4,"within demand"
"Central Square","Zenon Grocery Item 179",24-01,0,4,-4,"within demand"
"Central Square","Luxe Grocery Item 180",24-01,3,2,1,"within demand"
"Central Square","Zenon Electronics Item 181",24-01,35,0,35,"inventory issue"
"Central Square","Crafto Home Item 182",24-01,0,6,-6,"inventory issue"
"Central Square","Nova Sports Item 183",24-01,18,4,14,"inventory issue"
"Central Square","Pulse Home Item 184",24-01,-1,0,-1,"within demand"
"Central Square","UrbanX Sports Item 186",24-01,-4,0,-4,"within demand"
"Central Square","Pulse Toys Item 188",24-01,0,3,-3,"within demand"
"Central Square","Pulse Grocery Item 189",24-01,24,0,24,"inventory issue"
"Central Square","Pulse Toys Item 190",24-01,0,1,-1,"within demand"
"Central Square","Acme Fashion Item 191",24-01,11,1,10,"inventory issue"
"Central Square","Luxe Sports Item 192",24-01,29,0,29,"inventory issue"
"Central Square","Acme Grocery Item 193",24-01,6,0,6,"inventory issue"
"Central Square","PlayOn Home Item 195",24-01,0,2,-2,"within demand"
"Central Square","PlayOn Grocery Item 197",24-01,48,4,44,"inventory issue"
"Central Square","Crafto Beauty Item 199",24-01,2,0,2,"within demand"
"Central Square","Luxe Sports Item 200",24-01,-2,0,-2,"within demand"
"Central Square","Zenon Sports Item 201",24-01,-4,0,-4,"within demand"
"Central Square","Nova Electronics Item 202",24-01,0,2,-2,"within demand"
"Central Square","PlayOn Grocery Item 203",24-01,-2,3,-5,"within demand"
"Central Square","Zenon Fashion Item 204",24-01,-4,0,-4,"within demand"
"Central Square","UrbanX Electronics Item 206",24-01,7,0,7,"inventory issue"
"Central Square","UrbanX Books Item 208",24-01,27,0,27,"inventory issue"
"Central Square","Acme Sports Item 209",24-01,0,1,-1,"within demand"
"Central Square","UrbanX Books Item 212",24-01,-2,3,-5,"within demand"
"Central Square","UrbanX Grocery Item 213",24-01,0,1,-1,"within demand"
"Central Square","Luxe Electronics Item 214",24-01,0,10,-10,"inventory issue"
"Central Square","Luxe Home Item 215",24-01,-3,4,-7,"inventory issue"
"Central Square","Freshly Home Item 216",24-01,-4,0,-4,"within demand"
"Central Square","Acme Books Item 217",24-01,0,6,-6,"inventory issue"
"Central Square","Freshly Beauty Item 218",24-01,-12,4,-16,"inventory issue"
"Central Square","Acme Fashion Item 220",24-01,0,4,-4,"within demand"
"Central Square","Zenon Home Item 222",24-01,0,4,-4,"within demand"
"Central Square","Freshly Beauty Item 223",24-01,-1,0,-1,"within demand"
"Central Square","Acme Beauty Item 224",24-01,1,0,1,"within demand"
"Central Square","UrbanX Fashion Item 225",24-01,0,3,-3,"within demand"
"Central Square","Zenon Fashion Item 226",24-01,0,1,-1,"within demand"
"Central Square","PlayOn Toys Item 228",24-01,27,0,27,"inventory issue"
"Central Square","Freshly Sports Item 229",24-01,45,3,42,"inventory issue"
"Central Square","Freshly Home Item 230",24-01,-6,0,-6,"inventory issue"
"Central Square","Acme Sports Item 231",24-01,9,0,9,"inventory issue"
"Central Square","Zenon Grocery Item 232",24-01,-2,0,-2,"within demand"
"Central Square","Luxe Home Item 233",24-01,0,3,-3,"within demand"
"Central Square","UrbanX Toys Item 236",24-01,0,8,-8,"inventory issue"
"Central Square","Nova Books Item 238",24-01,-5,1,-6,"inventory issue"
"Central Square","Acme Beauty Item 239",24-01,-2,0,-2,"within demand"
"Central Square","Crafto Beauty Item 241",24-01,-3,4,-7,"inventory issue"
"Central Square","Nova Toys Item 242",24-01,0,5,-5,"within demand"
"Central Square","Freshly Fashion Item 243",24-01,2,5,-3,"within demand"
"Central Square","Freshly Grocery Item 244",24-01,-1,6,-7,"inventory issue"
"Central Square","Zenon Home Item 245",24-01,-1,0,-1,"within demand"
"Central Square","Crafto Beauty Item 246",24-01,0,3,-3,"within demand"
"Central Square","Pulse Beauty Item 249",24-01,53,5,48,"inventory issue"
"Central Square","Pulse Books Item 250",24-01,0,4,-4,"within demand"
"Central Square","Freshly Sports Item 252",24-01,61,0,61,"inventory issue"
"Central Square","Freshly Books Item 253",24-01,0,10,-10,"inventory issue"
"Central Square","Freshly Fashion Item 256",24-01,45,0,45,"inventory issue"
"Central Square","Nova Books Item 257",24-01,0,2,-2,"within demand"
"Central Square","Zenon Toys Item 258",24-01,0,1,-1,"within demand"
"Central Square","EcoWare Electronics Item 259",24-01,0,1,-1,"within demand"
"Central Square","Crafto Sports Item 260",24-01,0,2,-2,"within demand"
"Central Square","Freshly Toys Item 261",24-01,21,0,21,"inventory issue"
"Central Square","Acme Electronics Item 262",24-01,-2,2,-4,"within demand"
"Central Square","Zenon Electronics Item 264",24-01,32,0,32,"inventory issue"
"Central Square","Pulse Home Item 265",24-01,-2,0,-2,"within demand"
"Central Square","PlayOn Grocery Item 266",24-01,2,0,2,"within demand"
"Central Square","Freshly Home Item 268",24-01,0,3,-3,"within demand"
"Central Square","PlayOn Grocery Item 269",24-01,3,0,3,"within demand"
"Central Square","Pulse Beauty Item 270",24-01,29,0,29,"inventory issue"
"Central Square","Zenon Beauty Item 272",24-01,-1,4,-5,"within demand"
"Central Square","Pulse Sports Item 273",24-01,0,1,-1,"within demand"
"Central Square","Nova Sports Item 274",24-01,0,5,-5,"within demand"
"Central Square","PlayOn Beauty Item 275",24-01,4,0,4,"within demand"
"Central Square","Zenon Grocery Item 277",24-01,-3,0,-3,"within demand"
"Central Square","Zenon Electronics Item 278",24-01,1,0,1,"within demand"
"Central Square","EcoWare Toys Item 279",24-01,-3,0,-3,"within demand"
"Central Square","Crafto Electronics Item 280",24-01,-7,0,-7,"inventory issue"
"Central Square","Acme Grocery Item 281",24-01,-4,5,-9,"inventory issue"
"Central Square","Pulse Fashion Item 283",24-01,1,4,-3,"within demand"
"Central Square","Acme Sports Item 284",24-01,-9,0,-9,"inventory issue"
"Central Square","UrbanX Home Item 287",24-01,0,14,-14,"inventory issue"
"Central Square","UrbanX Toys Item 288",24-01,41,0,41,"inventory issue"
"Central Square","Pulse Grocery Item 289",24-01,-4,0,-4,"within demand"
"Central Square","Pulse Grocery Item 290",24-01,49,4,45,"inventory issue"
"Central Square","Freshly Sports Item 291",24-01,-3,0,-3,"within demand"
"Central Square","Acme Sports Item 292",24-01,-3,0,-3,"within demand"
"Central Square","Acme Fashion Item 293",24-01,-4,5,-9,"inventory issue"
"Central Square","Crafto Fashion Item 295",24-01,-4,3,-7,"inventory issue"
"Central Square","Crafto Beauty Item 296",24-01,0,6,-6,"inventory issue"
"Central Square","EcoWare Home Item 297",24-01,34,4,30,"inventory issue"
"Central Square","UrbanX Books Item 298",24-01,0,5,-5,"within demand"
"Central Square","Crafto Fashion Item 299",24-01,12,0,12,"inventory issue"
"Central Square","PlayOn Toys Item 1",24-02,0,9,-9,"inventory issue"
"Central Square","Freshly Books Item 2",24-02,2,0,2,"within demand"
"Central Square","UrbanX Sports Item 3",24-02,51,4,47,"inventory issue"
"Central Square","PlayOn Beauty Item 4",24-02,-9,0,-9,"inventory issue"
"Central Square","Freshly Beauty Item 5",24-02,-3,0,-3,"within demand"
"Central Square","PlayOn Toys Item 7",24-02,0,5,-5,"within demand"
"Central Square","Luxe Home Item 8",24-02,0,4,-4,"within demand"
"Central Square","EcoWare Grocery Item 9",24-02,44,0,44,"inventory issue"
"Central Square","Freshly Electronics Item 10",24-02,-4,0,-4,"within demand"
"Central Square","Luxe Beauty Item 11",24-02,-3,0,-3,"within demand"
"Central Square","UrbanX Fashion Item 12",24-02,0,5,-5,"within demand"
"Central Square","EcoWare Toys Item 15",24-02,-3,0,-3,"within demand"
"Central Square","EcoWare Fashion Item 16",24-02,24,3,21,"inventory issue"
"Central Square","Nova Books Item 18",24-02,22,0,22,"inventory issue"
"Central Square","Crafto Beauty Item 19",24-02,10,0,10,"inventory issue"
"Central Square","PlayOn Grocery Item 20",24-02,-4,0,-4,"within demand"
"Central Square","Luxe Books Item 21",24-02,-5,4,-9,"inventory issue"
"Central Square","PlayOn Beauty Item 23",24-02,-7,0,-7,"inventory issue"
"Central Square","Crafto Fashion Item 27",24-02,30,0,30,"inventory issue"
"Central Square","Acme Books Item 29",24-02,1,4,-3,"within demand"
"Central Square","Zenon Fashion Item 30",24-02,1,4,-3,"within demand"
"Central Square","EcoWare Fashion Item 34",24-02,0,5,-5,"within demand"
"Central Square","Pulse Fashion Item 37",24-02,12,5,7,"inventory issue"
"Central Square","PlayOn Home Item 39",24-02,-5,0,-5,"within demand"
"Central Square","UrbanX Toys Item 41",24-02,63,0,63,"inventory issue"
"Central Square","Luxe Beauty Item 42",24-02,-2,6,-8,"inventory issue"
"Central Square","UrbanX Home Item 43",24-02,-1,0,-1,"within demand"
"Central Square","EcoWare Fashion Item 44",24-02,14,4,10,"inventory issue"
"Central Square","Pulse Beauty Item 46",24-02,22,5,17,"inventory issue"
"Central Square","Luxe Sports Item 47",24-02,0,0,0,"within demand"
"Central Square","Luxe Sports Item 48",24-02,44,8,36,"inventory issue"
"Central Square","Crafto Beauty Item 49",24-02,0,1,-1,"within demand"
"Central Square","Pulse Toys Item 50",24-02,-5,2,-7,"inventory issue"
"Central Square","Crafto Books Item 51",24-02,-2,5,-7,"inventory issue"
"Central Square","Luxe Fashion Item 52",24-02,48,0,48,"inventory issue"
"Central Square","UrbanX Books Item 53",24-02,2,3,-1,"within demand"
"Central Square","Zenon Beauty Item 56",24-02,31,0,31,"inventory issue"
"Central Square","PlayOn Electronics Item 57",24-02,39,0,39,"inventory issue"
"Central Square","EcoWare Electronics Item 58",24-02,-5,5,-10,"inventory issue"
"Central Square","Pulse Home Item 59",24-02,0,2,-2,"within demand"
"Central Square","Nova Beauty Item 60",24-02,13,6,7,"inventory issue"
"Central Square","EcoWare Books Item 61",24-02,-3,9,-12,"inventory issue"
"Central Square","Acme Fashion Item 62",24-02,2,0,2,"within demand"
"Central Square","Crafto Grocery Item 63",24-02,-1,0,-1,"within demand"
"Central Square","Nova Electronics Item 64",24-02,-1,1,-2,"within demand"
"Central Square","Nova Electronics Item 66",24-02,19,0,19,"inventory issue"
"Central Square","Luxe Fashion Item 67",24-02,0,4,-4,"within demand"
"Central Square","EcoWare Books Item 68",24-02,-3,0,-3,"within demand"
"Central Square","Acme Books Item 69",24-02,-4,0,-4,"within demand"
"Central Square","Zenon Sports Item 70",24-02,44,4,40,"inventory issue"
"Central Square","Crafto Sports Item 73",24-02,-1,5,-6,"inventory issue"
"Central Square","Acme Home Item 74",24-02,-3,4,-7,"inventory issue"
"Central Square","UrbanX Sports Item 75",24-02,0,5,-5,"within demand"
"Central Square","Pulse Home Item 77",24-02,0,6,-6,"inventory issue"
"Central Square","PlayOn Fashion Item 78",24-02,21,0,21,"inventory issue"
"Central Square","Freshly Grocery Item 79",24-02,0,5,-5,"within demand"
"Central Square","Acme Electronics Item 80",24-02,0,4,-4,"within demand"
"Central Square","Nova Electronics Item 82",24-02,0,0,0,"within demand"
"Central Square","Pulse Electronics Item 83",24-02,0,5,-5,"within demand"
"Central Square","Pulse Fashion Item 84",24-02,-3,0,-3,"within demand"
"Central Square","Nova Electronics Item 87",24-02,-3,0,-3,"within demand"
"Central Square","UrbanX Fashion Item 88",24-02,0,3,-3,"within demand"
"Central Square","Pulse Fashion Item 90",24-02,0,5,-5,"within demand"
"Central Square","Acme Beauty Item 92",24-02,37,1,36,"inventory issue"
"Central Square","Luxe Toys Item 96",24-02,0,4,-4,"within demand"
"Central Square","Luxe Toys Item 97",24-02,34,12,22,"inventory issue"
"Central Square","Crafto Beauty Item 98",24-02,37,3,34,"inventory issue"
"Central Square","UrbanX Sports Item 99",24-02,39,2,37,"inventory issue"
"Central Square","EcoWare Toys Item 101",24-02,34,4,30,"inventory issue"
"Central Square","Nova Toys Item 102",24-02,36,0,36,"inventory issue"
"Central Square","Zenon Electronics Item 103",24-02,-2,2,-4,"within demand"
"Central Square","Nova Fashion Item 104",24-02,3,1,2,"within demand"
"Central Square","Acme Toys Item 105",24-02,0,1,-1,"within demand"
"Central Square","PlayOn Home Item 106",24-02,32,0,32,"inventory issue"
"Central Square","Freshly Home Item 107",24-02,6,3,3,"within demand"
"Central Square","Zenon Toys Item 108",24-02,0,5,-5,"within demand"
"Central Square","PlayOn Toys Item 110",24-02,26,0,26,"inventory issue"
"Central Square","PlayOn Home Item 111",24-02,0,1,-1,"within demand"
"Central Square","Zenon Toys Item 114",24-02,42,5,37,"inventory issue"
"Central Square","PlayOn Books Item 115",24-02,-2,0,-2,"within demand"
"Central Square","Pulse Books Item 117",24-02,32,5,27,"inventory issue"
"Central Square","Nova Home Item 118",24-02,-5,0,-5,"within demand"
"Central Square","Acme Sports Item 119",24-02,-7,0,-7,"inventory issue"
"Central Square","Acme Fashion Item 120",24-02,13,0,13,"inventory issue"
"Central Square","Pulse Fashion Item 121",24-02,0,2,-2,"within demand"
"Central Square","Zenon Grocery Item 122",24-02,-3,0,-3,"within demand"
"Central Square","Luxe Beauty Item 124",24-02,-4,0,-4,"within demand"
"Central Square","Zenon Sports Item 127",24-02,12,0,12,"inventory issue"
"Central Square","UrbanX Home Item 128",24-02,0,3,-3,"within demand"
"Central Square","EcoWare Home Item 129",24-02,23,4,19,"inventory issue"
"Central Square","Freshly Fashion Item 130",24-02,-2,1,-3,"within demand"
"Central Square","Crafto Electronics Item 131",24-02,-1,0,-1,"within demand"
"Central Square","Nova Books Item 132",24-02,7,3,4,"within demand"
"Central Square","Luxe Electronics Item 134",24-02,21,5,16,"inventory issue"
"Central Square","UrbanX Beauty Item 135",24-02,-3,5,-8,"inventory issue"
"Central Square","Luxe Beauty Item 137",24-02,-2,1,-3,"within demand"
"Central Square","Crafto Books Item 138",24-02,8,0,8,"inventory issue"
"Central Square","Zenon Beauty Item 143",24-02,0,5,-5,"within demand"
"Central Square","Crafto Grocery Item 144",24-02,0,1,-1,"within demand"
"Central Square","PlayOn Electronics Item 145",24-02,0,4,-4,"within demand"
"Central Square","Freshly Home Item 146",24-02,0,4,-4,"within demand"
"Central Square","Nova Books Item 147",24-02,1,0,1,"within demand"
"Central Square","EcoWare Books Item 149",24-02,-1,0,-1,"within demand"
"Central Square","Luxe Electronics Item 150",24-02,-8,0,-8,"inventory issue"
"Central Square","Acme Sports Item 151",24-02,38,0,38,"inventory issue"
"Central Square","EcoWare Books Item 154",24-02,-1,3,-4,"within demand"
"Central Square","Luxe Books Item 155",24-02,0,2,-2,"within demand"
"Central Square","Nova Beauty Item 157",24-02,-5,0,-5,"within demand"
"Central Square","Luxe Fashion Item 158",24-02,-2,0,-2,"within demand"
"Central Square","Freshly Electronics Item 159",24-02,0,4,-4,"within demand"
"Central Square","Luxe Fashion Item 161",24-02,0,4,-4,"within demand"
"Central Square","EcoWare Books Item 162",24-02,2,4,-2,"within demand"
"Central Square","Crafto Toys Item 163",24-02,-1,1,-2,"within demand"
"Central Square","Crafto Home Item 164",24-02,-3,0,-3,"within demand"
"Central Square","UrbanX Fashion Item 166",24-02,45,4,41,"inventory issue"
"Central Square","Pulse Books Item 167",24-02,39,0,39,"inventory issue"
"Central Square","EcoWare Sports Item 168",24-02,-3,0,-3,"within demand"
"Central Square","Acme Electronics Item 169",24-02,0,1,-1,"within demand"
"Central Square","Zenon Grocery Item 170",24-02,-11,1,-12,"inventory issue"
"Central Square","Nova Toys Item 171",24-02,22,4,18,"inventory issue"
"Central Square","Luxe Sports Item 172",24-02,0,4,-4,"within demand"
"Central Square","EcoWare Books Item 174",24-02,45,0,45,"inventory issue"
"Central Square","Acme Fashion Item 175",24-02,10,0,10,"inventory issue"
"Central Square","Pulse Fashion Item 176",24-02,-2,6,-8,"inventory issue"
"Central Square","UrbanX Beauty Item 177",24-02,1,0,1,"within demand"
"Central Square","Nova Electronics Item 178",24-02,-5,0,-5,"within demand"
"Central Square","Zenon Grocery Item 179",24-02,-3,0,-3,"within demand"
"Central Square","Luxe Grocery Item 180",24-02,36,9,27,"inventory issue"
"Central Square","Zenon Electronics Item 181",24-02,52,6,46,"inventory issue"
"Central Square","Nova Sports Item 183",24-02,-6,6,-12,"inventory issue"
"Central Square","UrbanX Sports Item 186",24-02,1,1,0,"within demand"
"Central Square","Zenon Beauty Item 187",24-02,0,2,-2,"within demand"
"Central Square","Pulse Grocery Item 189",24-02,2,0,2,"within demand"
"Central Square","Pulse Toys Item 190",24-02,0,3,-3,"within demand"
"Central Square","Acme Fashion Item 191",24-02,1,0,1,"within demand"
"Central Square","Luxe Sports Item 192",24-02,0,6,-6,"inventory issue"
"Central Square","Acme Grocery Item 193",24-02,-3,16,-19,"inventory issue"
"Central Square","Acme Toys Item 194",24-02,0,4,-4,"within demand"
"Central Square","Nova Electronics Item 196",24-02,-10,0,-10,"inventory issue"
"Central Square","PlayOn Grocery Item 197",24-02,1,4,-3,"within demand"
"Central Square","Crafto Beauty Item 199",24-02,-2,0,-2,"within demand"
"Central Square","Luxe Sports Item 200",24-02,0,3,-3,"within demand"
"Central Square","Zenon Sports Item 201",24-02,-8,1,-9,"inventory issue"
